node,type
SPIDER-MAN/PETER PARKER,hero
CAPTAIN AMERICA,hero
IRON MAN/TONY STARK,hero
THING/BENJAMIN J. GR,hero
THOR/DR. DONALD BLAK,hero
HUMAN TORCH/JOHNNY S,hero
MR. FANTASTIC/REED R,hero
HULK/DR. ROBERT BRUC,hero
WOLVERINE/LOGAN,hero
INVISIBLE WOMAN/SUE,hero
SCARLET WITCH/WANDA,hero
BEAST/HENRY &HANK& P,hero
DR. STRANGE/STEPHEN,hero
"WATSON-PARKER, MARY",hero
DAREDEVIL/MATT MURDO,hero
HAWK,hero
VISION,hero
CYCLOPS/SCOTT SUMMER,hero
WASP/JANET VAN DYNE,hero
"JAMESON, J. JONAH",hero
ANT-MAN/DR. HENRY J.,hero
SUB-MARINER/NAMOR MA,hero
STORM/ORORO MUNROE S,hero
PROFESSOR X/CHARLES,hero
"FURY, COL. NICHOLAS",hero
A '01,comic
A 1,comic
A 10,comic
A 100,comic
A 11,comic
A 12,comic
A 13,comic
A 135,comic
A 137,comic
A 138,comic
A 139,comic
A 14,comic
A 140,comic
A 141,comic
A 146,comic
A 148,comic
A 1.5,comic
A 15,comic
A 150,comic
A 151,comic
A 152,comic
A 153,comic
A 154,comic
A 155,comic
A 156,comic
A 157,comic
A 158,comic
A 159,comic
A 16,comic
A 160,comic
A 161,comic
A 162,comic
A 164,comic
A 165,comic
A 166,comic
A 167,comic
A 168,comic
A 170,comic
A 171,comic
A 172,comic
A 173,comic
A 174,comic
A 175,comic
A 176,comic
A 177,comic
A 179,comic
A 18,comic
A 180,comic
A 181,comic
A 18/2,comic
A 182,comic
A 189,comic
A 19,comic
A 192,comic
A 195,comic
A 196,comic
A 197,comic
A 198,comic
A 199,comic
A 2,comic
A 200,comic
A 201,comic
A2 1,comic
A2 10,comic
A 211,comic
A2 11,comic
A 212,comic
A2 12,comic
A 213,comic
A 214,comic
A 217,comic
A2 2,comic
A 222,comic
A 224,comic
A 227,comic
A 228,comic
A 229,comic
A 23,comic
A 230,comic
A 23/2,comic
A2 4,comic
A 240,comic
A 241,comic
A 242,comic
A 26,comic
A 267,comic
A2 7,comic
A 28,comic
A2 8,comic
A 280,comic
A 29,comic
A2 9,comic
A 292,comic
A 293,comic
A 3,comic
A 30,comic
A 302,comic
A 303,comic
A 305,comic
A 306,comic
A 308,comic
A 31,comic
A3 1,comic
A3 10,comic
A3 11,comic
A 312,comic
A3 12,comic
A 313,comic
A3 13,comic
A 314,comic
A3 14,comic
A3 17,comic
A3 18,comic
A 32,comic
A3 2,comic
A3 20,comic
A3 21,comic
A3 22,comic
A3 23,comic
A3 25,comic
A3 27,comic
A3 28,comic
A 329,comic
A3 29,comic
A 33,comic
A3 3,comic
A3 30,comic
A3 31,comic
A 332,comic
A3 32,comic
A3 33,comic
A3 34,comic
A 335,comic
A3 35,comic
A 336,comic
A3 36,comic
A 337,comic
A 338,comic
A3 38,comic
A 34,comic
A3 4,comic
A 345,comic
A 35,comic
A 36,comic
A 37,comic
A 374,comic
A 375,comic
A 375/2,comic
A 378,comic
A 379/2,comic
A 38,comic
A 380/2,comic
A 381/2,comic
A 382/3,comic
A 383,comic
A 384,comic
A 387,comic
A 388,comic
A 39,comic
A 390,comic
A 391,comic
A 392,comic
A 393,comic
A 394,comic
A 395,comic
A 396,comic
A 397,comic
A 399,comic
A 4,comic
A 40,comic
A 400,comic
A 401,comic
A 402,comic
A 41,comic
A 42,comic
A 43,comic
A 44,comic
A 45,comic
A 46,comic
A 47,comic
A 48,comic
A 49,comic
A 5,comic
A 50,comic
A 51,comic
A 52,comic
A 53,comic
A 54,comic
A 55,comic
A 56,comic
A 57,comic
A 58,comic
A 59,comic
A 6,comic
A 60,comic
A 63,comic
A 64,comic
A 65,comic
A 66,comic
A 67,comic
A 68,comic
A 69,comic
A 7,comic
A 70,comic
A 71,comic
A 72,comic
A 73,comic
A 74,comic
A 75,comic
A 8,comic
A 83,comic
A 9,comic
A 90,comic
A 91,comic
A 93,comic
A '98,comic
A 99,comic
A:C,comic
A:DV,comic
AOI,comic
ASM 1,comic
ASM 18,comic
ASM 24/4,comic
ASM 3,comic
ASMU 18,comic
ASPOT 21,comic
ASPOT 23/2,comic
ASPOT 30,comic
A:T,comic
AUP 1,comic
AUP 2,comic
AUP 4,comic
AVF 1,comic
AVF 10,comic
AVF 11,comic
AVF 12,comic
AVF 2,comic
AVF 3,comic
AVF 4,comic
AVF 5,comic
AVF 6,comic
AVF 7,comic
AVF 8,comic
AWC 4/2,comic
AWC 47,comic
AWC 48,comic
AWC 49,comic
AWC 5,comic
AWC 50,comic
AWC 51,comic
AWC 52,comic
AWC 5/3,comic
AWC 53,comic
AWC 54,comic
AWC 5/5,comic
AWC 55,comic
AWC 56,comic
AWC 57,comic
AWC 58,comic
AWC 60,comic
AWC 61,comic
AWC 6/2,comic
AWC 62,comic
AWC 63,comic
AWC 65,comic
AWC 66,comic
AWC 67,comic
AWC 68,comic
AWC 69,comic
AWC 70,comic
AWC 71,comic
AWC 72,comic
AWC 73,comic
AWC 74,comic
AWC 81,comic
AWC 82,comic
AWC 83,comic
AWC 90,comic
AWC 91,comic
BG 1,comic
BIZADV 27/2,comic
BP3 23,comic
CA 114,comic
CA 115,comic
CA 116,comic
CA 121,comic
CA 221/2,comic
CA 224,comic
CA 301,comic
CA3 21,comic
CA3 3,comic
CA 366,comic
CA 367,comic
CA 377,comic
CA 378,comic
CA 383,comic
CA 400/2,comic
CA 401,comic
CA 434,comic
CA 435,comic
CA 436,comic
CA 437,comic
CA 438,comic
CA 440,comic
CA 443,comic
CA 444,comic
CM 35,comic
CM 37,comic
CM 56,comic
DD 52,comic
DEF 23,comic
DEF 24,comic
DEF 25,comic
DEF 78,comic
DEF 79,comic
DEF 80,comic
DEF 81,comic
DPOOL3 44,comic
DRSTR2 29,comic
FF 16,comic
FF 17,comic
FF2 12,comic
FF 22,comic
FF 24,comic
FF 25,comic
FF 26,comic
FF 31,comic
FF3 27,comic
FF 333,comic
FF 36,comic
FF 367,comic
FF 368,comic
FF 415,comic
FFU 11,comic
FW 13,comic
FW 14,comic
FW 8,comic
GSDEF 4,comic
GZILL 17,comic
GZILL 23,comic
GZILL 24,comic
H '00,comic
H 11,comic
H2 154,comic
H2 323,comic
H2 399,comic
H2 434,comic
H2 440,comic
H2 445,comic
HR:R 4,comic
IFW 2,comic
IG 2,comic
IM 108,comic
IM 109,comic
IM 114,comic
IM 115,comic
IM 18,comic
IM 194,comic
IM 203,comic
IM2 12,comic
IM 229,comic
IM 263,comic
IM 285,comic
IM 286,comic
IM3 12,comic
IM 314,comic
IM3 15,comic
IM 321,comic
IM 323,comic
IM 324,comic
IM 325,comic
IM 326,comic
IM 327,comic
IM3 37,comic
IM 44/2,comic
IM '98,comic
IMSVS 2,comic
INV 1,comic
IW 1,comic
IW 2,comic
IW 3,comic
IW 4,comic
JA 16,comic
JIM 101,comic
JIM 105,comic
JIM 108,comic
JIM 116,comic
KS,comic
MARVELS 2,comic
MAXSEC 1,comic
MAXSEC 2,comic
MAXSEC 3,comic
M/CP 43/2,comic
M/CP 44/2,comic
M/CP 45/2,comic
M:DS 2,comic
M:DS 3,comic
M:DS 4,comic
M/FEA 10,comic
M/FEA 4,comic
M/FEA 5,comic
M/FEA 6,comic
M/FEA 7,comic
M/FEA 8,comic
M/FEA 9,comic
M/GN 1,comic
M/H&L '97,comic
M/:LG 12,comic
M/PRM 48,comic
M/SH3 9,comic
MSM 18,comic
M/SS 1,comic
M/TE 13,comic
M/TIO 39,comic
M/TIO 40,comic
M/TU 59,comic
M/TU 60,comic
M/TU 88,comic
N 12,comic
N 1/3,comic
O:MU,comic
O:X,comic
PM&IF 125,comic
PPTSS 89,comic
PUN3 1,comic
Q 60,comic
SENSM 3,comic
SENTRY 1,comic
SMTU 4,comic
SOLOA 16,comic
SOLOA 8/2,comic
ST 156,comic
SUB-M 14,comic
SUB-M 8,comic
SVTU 14,comic
SVTU 9,comic
T 495,comic
TB 11,comic
TB 12,comic
TB 43,comic
TB 44,comic
TB 45,comic
TOMB OF DARKNESS 22,comic
TOS 49,comic
TOS 56,comic
TOS 58,comic
TOS 59,comic
TOS 60,comic
TOS 84/2,comic
TOS 91/2,comic
TOS 92/2,comic
TS 10,comic
TS 16,comic
TS 23,comic
TS 24,comic
TS 9,comic
TTA 27,comic
TTA3,comic
TTA 35,comic
TTA 36,comic
TTA 37,comic
TTA 38,comic
TTA 39,comic
TTA 40,comic
TTA 41,comic
TTA 42,comic
TTA 43,comic
TTA 44,comic
TTA 45,comic
TTA 46,comic
TTA 47,comic
TTA 48,comic
TTA 49,comic
TTA 50,comic
TTA 51,comic
TTA 52,comic
TTA 53,comic
TTA 53/2,comic
TTA 54,comic
TTA 54/2,comic
TTA 55,comic
TTA 55/2,comic
TTA 56,comic
TTA 56/2,comic
TTA 57,comic
TTA 57/2,comic
TTA 58,comic
TTA 58/2,comic
TTA 59,comic
TTA 60,comic
TTA 61,comic
TTA 62,comic
TTA 63,comic
TTA 64,comic
TTA 65,comic
TTA 66,comic
TTA 67,comic
TTA 68,comic
TTA 69,comic
TTA 77,comic
TTA 78,comic
UTSM 3,comic
UTSM '97,comic
UX 108,comic
UX 286,comic
UX 336,comic
UX 45,comic
UX 9,comic
V 1,comic
V 3,comic
V 4,comic
V&SW2 2,comic
WCA 1,comic
WCA 2,comic
WCA2 1,comic
WCA2 10,comic
WCA2 11,comic
WCA2 12,comic
WCA2 13,comic
WCA2 14,comic
WCA2 15,comic
WCA2 16,comic
WCA2 17,comic
WCA2 18,comic
WCA2 19,comic
WCA2 2,comic
WCA2 20,comic
WCA2 21,comic
WCA2 22,comic
WCA2 23,comic
WCA2 24,comic
WCA2 25,comic
WCA2 26,comic
WCA2 27,comic
WCA2 28,comic
WCA2 29,comic
WCA2 3,comic
WCA2 30,comic
WCA2 31,comic
WCA2 32,comic
WCA2 33,comic
WCA2 34,comic
WCA2 35,comic
WCA2 36,comic
WCA2 37,comic
WCA2 38,comic
WCA2 4,comic
WCA2 42,comic
WCA2 43,comic
WCA2 44,comic
WCA2 45,comic
WCA2 5,comic
WCA2 6,comic
WCA2 7,comic
WCA2 8,comic
WM2 12,comic
WM2 13,comic
WOSM 46,comic
X 55,comic
